L_mm,W_mm,inset_mm,feedWidth_mm,h_mm,eps_r,f_target_GHz
30.734019577297932,39.31579270578508,11.028170429402635,5.517491871580796,2.4103866719850915,3.4359285983328913,2.5618101782710436
42.95713007568139,51.475419553419314,15.468194714832524,2.7016865741263985,0.9277839467700388,2.4027928764370636,2.2340279606636546
26.773621627851938,34.613654422684036,9.424882280001883,5.992801546211444,2.631373809760928,3.4608828078105924,2.9016725176148133
41.65041690707933,50.33582094340967,14.754484233747789,4.238079181166353,1.4693329345109831,2.438425862809464,2.272737450810651
34.308955371587324,42.34921379519689,11.903791012619148,5.968407671042536,2.146076368389235,2.5785978822574545,2.6479175279631737
36.88130545057243,45.376415221509845,13.193246302591048,4.893884342128338,1.8033539652774793,2.676270396281799,2.4382169728028273
37.70858510504824,46.9028527969205,13.119408696668598,5.449865481266007,2.1033120514964936,2.868504769937695,2.2995106732375397
32.72747836330132,39.39099373240479,11.806003748433579,2.732448229141891,0.943113504567615,2.421681360793479,2.9113172778521577
23.620618042558053,29.83604677054521,8.295131255550704,3.4976165154589247,1.4701502921814156,3.2509165525513994,3.4484480496118395
29.393939983363126,36.090252093033946,10.437738069557883,2.832568295504574,1.0684841166585135,2.772198241861482,3.026349539768235
39.40608864901729,49.39411978886859,14.270418631810347,3.169279595941185,1.3693159595200373,3.382116522702417,2.0515827816728276
35.07321926379226,43.66571069712541,12.26959201383773,5.1801290518830845,2.0027626145552153,2.8760884275311542,2.467566614134116
22.958319084759463,29.93750182742775,8.193766558263517,6.884025169712182,2.866897671441216,3.207672670369449,3.454376941646838
27.832713226324863,34.91653106478084,9.894706535245795,2.2944545764677566,0.9946835045142229,3.398436505530052,2.8968499682166278
44.15591868023665,53.89632976031988,15.501981624984111,4.551631761413751,1.6550900373168607,2.6229294299922437,2.067840933365807
27.7583318627476,34.17278892712563,9.827762355385536,3.860200159267894,1.418055921312238,2.6637793247016663,3.243106263727894
37.43162976530106,46.57066986640779,13.70446241432175,2.297411670771832,0.9640114160954959,3.2428560749802515,2.211386337462144
29.973959680194994,36.11689463011523,10.761650567960162,2.3301983671765587,0.8121486576719253,2.458330385994424,3.1583671539449862
26.59222971877575,34.03612288344337,9.240218611046254,6.07373280580766,2.4967947627090807,3.1477093184532836,3.0602860157714256
37.14610743155945,45.66705401404109,13.077919194677255,7.970964952789936,2.6988275369263057,2.350629777382669,2.537698592816409
39.07815421765314,46.90191810017424,13.721896997621016,4.466789810112953,1.484161107774457,2.282625855371831,2.496347037278974
26.63159807005623,34.153822545599226,9.353082786902771,6.872805274748033,2.7518680336679187,3.028824712761777,3.094409267507096
38.01738963935787,47.911780897988095,13.554108034421967,6.044655829089527,2.4737271069571745,3.1272182233898933,2.1793913689074524
27.370882715087603,34.28721977526094,9.630815706122164,5.084322290913282,1.950012224640387,2.841934275273708,3.1564507699318414
47.76864237371024,56.948801990972555,17.05654631899256,2.5743209385574195,0.8691442085108154,2.340258855091296,2.038128690116143
34.66757642272351,43.67991568663587,12.087885568310192,7.258880298642579,2.796646242637405,2.8611418985141137,2.47153397161449
31.758046188957582,39.658467399190215,11.170116715817771,3.146870498783695,1.3033559640815695,3.1822164801059634,2.6155743845534447
38.23916318856431,47.18705351832743,13.559708943658729,8.270437204718903,2.845334835153661,2.409587673430206,2.434627179370652
26.8365422553359,34.54454037107159,9.409910800628216,6.004926618190453,2.568078569178052,3.332898767244033,2.9501056347656354
25.18914076907728,32.16731433053372,8.970595514086073,6.624953736511766,2.5763683413609377,2.901144914490346,3.3388384977349665
38.991401616991865,46.838908227459,13.76131588577681,3.8518190850059217,1.3014573575922719,2.34306750188598,2.4770052124577955
26.775533165656974,33.44162355429086,9.363607826411473,4.457011326822426,1.7183042069273138,2.8639714933508356,3.2270221488837394
41.057016406511565,51.015829556153236,14.336580564892355,7.873267652848395,2.8744013486075426,2.6388997228247164,2.179798051000524
30.052250542730384,37.645821845807774,10.913088399733315,3.9210647864569568,1.599985125234447,3.1139246465637314,2.7781859326150493
26.492429891688197,32.799133163186056,9.224285927225221,5.336963619000182,1.8939467129632481,2.5273169845729737,3.443670942413167
40.1204528034748,48.493659089711294,14.133560434192546,6.507050958311936,2.1410415347557734,2.247953031560893,2.4272607415662013
43.8335744021306,54.10813195517148,15.261913873135828,7.814521130566305,2.7981849491266386,2.562240403507595,2.077218126874984
38.891848724734956,48.844748554519704,13.56431148437309,7.750001997451074,2.9684309990433215,2.8362885883608318,2.2173423081368346
27.49806826799937,34.449791004917195,9.917216071798876,3.1883795904129157,1.3228025967832795,3.190105499927333,3.008203321108818
32.976145091031604,41.45338949052053,11.71227129962189,5.487361079217629,2.1937653636739682,3.0219975797716536,2.55167469907888
38.327381005296935,47.984314609382835,13.577033354502362,3.555754418818963,1.505716142937819,3.2858932442660094,2.1354346550816126
41.40167997665928,51.665346569019725,14.417835682639769,5.800033826296273,2.2906415960530215,2.9681608261447145,2.061162712332146
33.25047715555592,40.994840074238205,11.528586355139645,6.307662200522861,2.2193801389007897,2.4944445077573194,2.768139587448921
28.64854206629395,36.30644988759772,9.860801580944566,7.713082257351462,2.860805975220816,2.702755950190699,3.036406607153699
37.48579627295616,46.16305701834651,13.319431941393052,8.378301419599325,2.834325960212838,2.347515577612766,2.511599526575388
34.915578611873464,44.117902560601664,12.399059138771518,6.44602263566494,2.5978888404426748,3.0579792598444326,2.386912441572733
33.463765388350765,40.49298618426855,12.050506994458518,2.840991028628021,1.0048260891729783,2.5144079781705875,2.79447586753401
