loss
1.801355719566345215e+00
4.652625083923339844e+00
1.663749337196350098e+00
4.958145141601562500e+00
1.801356792449951172e+00
4.800942897796630859e+00
3.515407323837280273e+00
4.801889419555664062e+00
6.931610107421875000e-01
2.223275750875473022e-01
2.223363816738128662e-01
1.177114129066467285e+00
4.801890850067138672e+00
4.800940513610839844e+00
1.177110314369201660e+00
3.537150323390960693e-01
2.223272770643234253e-01
5.066348075866699219e+00
2.517354965209960938e+00
1.801357030868530273e+00
